short_sma,long_sma,n_stocks,n_runs,median_xirr,mean_xirr,std_xirr,p25_xirr,p75_xirr,median_return,mean_return,median_drawdown,mean_drawdown,mean_sharpe,pct_profitable
50,100,15,1000,34.86670042693329,51.095359523081044,94.60336355034785,-6.270905204398425,75.53505409176556,35.19215369858439,52.57654585343456,33.45319331858281,34.76686680318494,0.7890918467520925,70.1
50,100,25,1000,38.579841242824884,52.036423899956674,93.55280974408547,-4.859579385666446,82.57191099506997,39.184507544365516,53.406931257652616,30.30326641347157,31.863700555815296,0.8675160718322613,70.89999999999999
50,110,15,1000,42.569912549806574,56.31927545573306,106.75294855506215,-3.598408244272744,81.5781654320899,43.33380227130782,57.97685721951272,32.32861604126201,34.40527992136644,0.9472180596054947,72.89999999999999
50,110,25,1000,38.66946462326021,55.08355563420498,134.444697159892,-1.8851546173957345,81.00684029976318,39.25131295227706,57.1220305095022,29.743708635004513,31.803959729149884,0.9678012927538441,72.6
50,120,15,1000,31.882789295690927,55.743415495566026,119.24313331850338,-3.9266272419915342,78.08133880109408,32.537366518343816,57.61381722179468,32.96243586746734,34.95895714139112,0.8532680840560429,71.1
50,120,25,1000,33.658556725006385,48.64426211616173,96.44482120662524,-2.0283635103319124,74.71897839334937,34.2475464716047,49.95387333799529,29.86481946407917,31.386968158732465,0.9815565799363439,72.89999999999999
50,130,15,1000,35.845732989830466,63.56339311715347,155.94944206157624,-3.6387419914587547,78.3244077053638,36.590225982614925,65.7048806019949,32.965547512582404,35.16230003723838,0.8784301201562892,73.2
50,130,25,1000,38.73574940397882,55.09725380057898,86.80740531556738,1.100935128904612,80.0841779161227,39.143940703927825,56.70599922315466,29.95398588456438,32.15018824467885,0.9845007341311887,75.8
50,140,15,1000,33.49991369288926,68.52698652163156,152.27865075573928,-0.8504564851032931,74.29739189880225,34.21032018608942,71.29959004810121,32.540112067377905,34.25545695210247,0.9162510499735481,74.1
50,140,25,1000,38.18155882829718,59.72866785676529,100.39118765534856,1.3391686464300667,77.45136731202537,38.77588235457728,61.62365906281938,29.68793280251331,31.358336604815488,1.0781986426389756,76.1
