date,symbol,action,qty,price,execution_price,cost,portfolio_value
2006-05-17,REPRO.NS,BUY,169,152.7656347061959,152.7656347061959,30.70142326453641,259815.3670657829
2006-05-17,NELCO.NS,BUY,207,125.41276550292969,125.41276550292969,30.871535121750366,259784.49553066114
2006-05-17,PONNIERODE.NS,BUY,458,56.62561798095703,56.62561798095703,30.840724256760133,259753.65480640437
2006-05-17,GOLDIAM.NS,BUY,1371,18.939649748737473,18.939649748737473,30.878452970487952,259483.88508581766
2006-05-17,KCPSUGIND.NS,BUY,547,47.414989087940256,47.414989087940256,30.84246758381132,259192.00423852823
2006-05-17,KAMATHOTEL.NS,BUY,141,183.993649775993,183.993649775993,30.850917377708285,258854.3104367443
2006-05-17,RAJSREESUG.NS,BUY,172,150.64500427246094,150.64500427246094,30.812668859321775,258823.49776788498
2006-05-17,SAKHTISUG.NS,BUY,108,238.5542618422768,238.5542618422768,30.637764311099545,258474.53042529157
2006-05-17,SIEMENS.NS,BUY,93,276.7612894000983,276.7612894000983,30.60796312677957,258406.13005527988
2006-05-17,BAJAJHIND.NS,BUY,64,399.7482214366953,399.7482214366953,30.42374342241303,258296.15021803396
2006-06-27,NELCO.NS,SELL,207,77.40541076660156,77.40541076660156,32.58063394373035,195601.7398483343
2006-06-27,RENUKA.NS,BUY,984,37.66067582894653,37.66067582894653,44.0686090901303,194788.45501750612
2006-07-20,REPRO.NS,SELL,169,70.04339360003681,70.04339360003681,28.2310728963233,194825.43018945644
2006-07-20,PENINLAND.NS,BUY,592,53.67269718607423,53.67269718607423,37.78515974257663,193965.3919991712
2006-07-26,KCPSUGIND.NS,SELL,547,23.07688726828312,23.07688726828312,29.047578229936242,188201.46864073296
2006-07-27,PONNIERODE.NS,SELL,458,41.72010710234698,41.72010710234698,35.78637658033034,190241.71715950343
2006-07-27,THERMAX.NS,BUY,146,215.93582164636018,215.93582164636018,37.490711709751274,190101.85756530595
2006-08-01,KAMATHOTEL.NS,SELL,141,126.24262484423204,126.24262484423204,34.42755113403329,218417.73426775186
2006-08-01,JUBLPHARMA.NS,BUY,326,115.922910341119,115.922910341119,44.93999416186624,218059.79799994378
2006-08-08,GOLDIAM.NS,SELL,1371,12.336006868225883,12.336006868225883,33.50523599668813,223685.91233429938
2006-08-08,MANGLMCEM.NS,BUY,155,109.03905360194062,109.03905360194062,20.098326968951913,223563.9511821229
2006-09-01,KEC.NS,BUY,464,43.06016648198441,43.06016648198441,23.75963807288046,254433.8671385113
2006-09-07,RENUKA.NS,SELL,984,29.583633447219214,29.583633447219214,46.180720241209116,254766.49318968438
2006-09-13,BAJAJHIND.NS,SELL,64,265.37606310940953,265.37606310940953,33.57943588849816,253192.95568501
2006-09-13,JAICORPLTD.NS,BUY,796,28.852006912231445,28.852006912231445,27.310850880800356,253165.6448341292
2006-09-13,ADANIENT.NS,BUY,2928,7.847539378901567,7.847539378901567,27.32440487016594,252853.08115353103
2006-09-18,RAJSREESUG.NS,SELL,172,93.97895053195973,93.97895053195973,32.72763522245596,258263.3237767124
2006-09-18,NETWORK18.NS,BUY,23,676.9033203125,676.9033203125,18.514015205226563,258244.80976150717
2006-09-19,SIEMENS.NS,SELL,93,241.6134727692634,241.6134727692634,39.280339762597904,257616.56874792866
